,Samsung;,Nokia,LG
Alabama,4,13,136;
Alaska,4,10,163;
Arizona,4,8,194;
Arkansas,3,8,90;
California,4,9,76;
Colorado,3,7,104;
Connecticut,2,3,10;
Delaware,4,5,138;
Florida,4,15,235;
Georgia,3,17,111;
Hawaii,1,5,46;
Idaho,2,2,20;
Illinois,4,10,149;
Indiana,2,7,13;
Iowa,1,2,56;
Kansas,2,6,15;
Kentucky,2,9,9;
Louisiana,4,15,149;
Maine,1,2,83;
Maryland,4,11,200;
Massachusetts,3,4,49;
Michigan,4,12,155;
Minnesota,1,2,72;
Mississippi,4,16,159;
Missouri,3,9,78;
Montana,2,6,09;
Nebraska,2,4,102;
Nevada,4,12,152;
New;Hampshire,1,2,57,56
New;Jersey,3,7,59,89
New;Mexico,4,11,185
New;York,4,11,154
North;Carolina,4,13,237
North;Dakota,1,1,45
Ohio,2,7,120;
Oklahoma,3,6,51;
Oregon,3,5,59;
Pennsylvania,2,6,106;
Rhode;Island,3,4,74
South;Carolina,4,14,179
South;Dakota,1,4,86
Tennessee,3,13,88;
Texas,3,13,101;
Utah,2,3,120;
Vermont,1,2,48;
Virginia,3,8,56;
Washington,3,4,45;
West;Virginia,1,6,81
Wisconsin,1,3,53;
Wyoming,3,7,61;
